Bulan,SUM of Pertumbuhan PDB,5.281363636363636,,,,,Q2-2025,,,SUM of Pertumbuhan PDB,Tahun,,,,
Fri Jun 01 2012 00:00:00 GMT+0700 (Western Indonesia Time),6.21,,5.00121212121212,,,,6.21,,,,,,,,
Sat Sep 01 2012 00:00:00 GMT+0700 (Western Indonesia Time),5.94,,5.00121212121212,,,,5.94,,,,,,,,
Sat Dec 01 2012 00:00:00 GMT+0700 (Western Indonesia Time),5.87,,5.00121212121212,,,,5.87,,,,,,,,
Fri Mar 01 2013 00:00:00 GMT+0700 (Western Indonesia Time),5.54,,5.00121212121212,,,,5.54,,,,,,,,
Sat Jun 01 2013 00:00:00 GMT+0700 (Western Indonesia Time),5.59,,5.00121212121212,,,,5.59,,,,,,,,
Sun Sep 01 2013 00:00:00 GMT+0700 (Western Indonesia Time),5.52,,5.00121212121212,,,,5.52,,,,,,,,
Sun Dec 01 2013 00:00:00 GMT+0700 (Western Indonesia Time),5.58,,5.00121212121212,,,,5.58,,,,,,,,
Sat Mar 01 2014 00:00:00 GMT+0700 (Western Indonesia Time),5.12,,5.00121212121212,,,,5.12,,,,,,,,
Sun Jun 01 2014 00:00:00 GMT+0700 (Western Indonesia Time),4.94,,5.00121212121212,,,,4.94,,,,,,,,
Mon Sep 01 2014 00:00:00 GMT+0700 (Western Indonesia Time),4.93,,5.00121212121212,,,,4.93,,,,,,,,
Mon Dec 01 2014 00:00:00 GMT+0700 (Western Indonesia Time),5.05,,5.00121212121212,,,,5.05,,,,,,,,
Sun Mar 01 2015 00:00:00 GMT+0700 (Western Indonesia Time),4.83,,5.00121212121212,,,,4.83,,,,,,,,
Mon Jun 01 2015 00:00:00 GMT+0700 (Western Indonesia Time),4.74,,5.00121212121212,,,,4.74,,,,,,,,
Tue Sep 01 2015 00:00:00 GMT+0700 (Western Indonesia Time),4.78,,5.00121212121212,,,,4.78,,,,,,,,
Tue Dec 01 2015 00:00:00 GMT+0700 (Western Indonesia Time),5.15,,5.00121212121212,,,,5.15,,,,,,,,
Tue Mar 01 2016 00:00:00 GMT+0700 (Western Indonesia Time),4.94,,5.00121212121212,,,,4.94,,,,,,,,
Wed Jun 01 2016 00:00:00 GMT+0700 (Western Indonesia Time),5.21,,5.00121212121212,,,,5.21,,,,,,,,
Thu Sep 01 2016 00:00:00 GMT+0700 (Western Indonesia Time),5.03,,5.00121212121212,,,,5.03,,,,,,,,
Thu Dec 01 2016 00:00:00 GMT+0700 (Western Indonesia Time),4.94,,5.00121212121212,,,,4.94,,,,,,,,
Wed Mar 01 2017 00:00:00 GMT+0700 (Western Indonesia Time),5.01,,5.00121212121212,,,,5.01,,,,,,,,
Thu Jun 01 2017 00:00:00 GMT+0700 (Western Indonesia Time),5.01,,5.00121212121212,,,,5.01,,,,,,,,
Fri Sep 01 2017 00:00:00 GMT+0700 (Western Indonesia Time),5.06,,5.00121212121212,,,,5.06,,,,,,,,
Fri Dec 01 2017 00:00:00 GMT+0700 (Western Indonesia Time),5.19,,5.00121212121212,,,,5.19,,,,,,,,
Thu Mar 01 2018 00:00:00 GMT+0700 (Western Indonesia Time),5.07,,5.00121212121212,,,,5.07,,,,,,,,
Fri Jun 01 2018 00:00:00 GMT+0700 (Western Indonesia Time),5.27,,5.00121212121212,,,,5.27,,,,,,,,
Sat Sep 01 2018 00:00:00 GMT+0700 (Western Indonesia Time),5.17,,5.00121212121212,,,,5.17,,,,,,,,
Sat Dec 01 2018 00:00:00 GMT+0700 (Western Indonesia Time),5.18,,5.00121212121212,,,,5.18,,,,,,,,
Fri Mar 01 2019 00:00:00 GMT+0700 (Western Indonesia Time),5.07,,5.00121212121212,,,,5.07,,,,,,,,
Sat Jun 01 2019 00:00:00 GMT+0700 (Western Indonesia Time),5.05,,5.00121212121212,,,,5.05,,,,,,,,
Sun Sep 01 2019 00:00:00 GMT+0700 (Western Indonesia Time),5.02,,5.00121212121212,,,,5.02,,,,,,,,
Sun Dec 01 2019 00:00:00 GMT+0700 (Western Indonesia Time),4.97,,5.00121212121212,,,,4.97,,,,,,,,
Sun Mar 01 2020 00:00:00 GMT+0700 (Western Indonesia Time),2.97,,5.00121212121212,,,-2.14,2.97,,,,,,,,
Mon Jun 01 2020 00:00:00 GMT+0700 (Western Indonesia Time),-5.32,,,,,-4.19,-5.32,,,,,,,,
Tue Sep 01 2020 00:00:00 GMT+0700 (Western Indonesia Time),-3.49,,,,,5.05,-3.49,,,,,,,,
Tue Dec 01 2020 00:00:00 GMT+0700 (Western Indonesia Time),-2.19,,,,,-0.4,-2.19,,,,,,,,
Mon Mar 01 2021 00:00:00 GMT+0700 (Western Indonesia Time),-0.71,,,,,-0.93,-0.71,,,,,,,,
Tue Jun 01 2021 00:00:00 GMT+0700 (Western Indonesia Time),7.07,,,,,3.3,7.07,,,,,,,,
Wed Sep 01 2021 00:00:00 GMT+0700 (Western Indonesia Time),3.51,,,,,1.57,3.51,,,,,,,,
Wed Dec 01 2021 00:00:00 GMT+0700 (Western Indonesia Time),5.02,,,,,1.05,5.02,,,,,,,,
Tue Mar 01 2022 00:00:00 GMT+0700 (Western Indonesia Time),5.01,,,,,-0.94,5.01,,,,,,,,
Wed Jun 01 2022 00:00:00 GMT+0700 (Western Indonesia Time),5.44,,,,,3.73,5.44,,,,,,,,
Thu Sep 01 2022 00:00:00 GMT+0700 (Western Indonesia Time),5.72,,,,,1.83,5.72,,,,,,,,
Thu Dec 01 2022 00:00:00 GMT+0700 (Western Indonesia Time),5.01,,,,,0.36,5.01,,,,,,,,
Wed Mar 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),5.03,,,,,-0.9,5.03,,,,,,,,
Thu Jun 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),5.17,,,,,3.86,5.17,,,,,,,,
Fri Sep 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),4.94,,,,,1.6,4.94,,,,,,,,
Fri Dec 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),5.04,,,,0.020242914979756943,0.45,5.04,,,,,,,,
Fri Mar 01 2024 00:00:00 GMT+0700 (Western Indonesia Time),5.11,,,,0.01388888888888884,-0.83,5.11,,,,,,,,
Sat Jun 01 2024 00:00:00 GMT+0700 (Western Indonesia Time),5.05,,,,-0.011741682974559797,3.79,5.05,,,,,,,,
Sun Sep 01 2024 00:00:00 GMT+0700 (Western Indonesia Time),4.95,,,,-0.01980198019801971,1.5,4.95,,,,,,,,
Sun Dec 01 2024 00:00:00 GMT+0700 (Western Indonesia Time),5.02,,,,0.01414141414141401,0.53,5.02,,,,,,,,
Sat Mar 01 2025 00:00:00 GMT+0700 (Western Indonesia Time),4.87,,,,-0.029880478087649265,-0.98,4.87,,,,,,,,
Sun Jun 01 2025 00:00:00 GMT+0700 (Western Indonesia Time),5.12,,,,,,5.12,,,,,,,,
